Date,Close,High,Low,Open,Volume
2023-06-27,-11.570557594299316,-11.570557594299316,-11.40625175697062,-11.53596702192027,338651
2023-07-03,-11.544615745544434,-11.734863495685817,-11.48408162076821,-11.579206320543262,1325996
2023-07-04,-11.544615745544434,-11.674330195613956,-11.44949104576938,-11.5878533457647,1116562
2023-07-05,-11.56191062927246,-11.67433020427818,-11.388957754149953,-11.54461575411239,822351
2023-07-06,-11.752159118652344,-11.804044568458965,-11.527319970278716,-11.561910545051244,989226
2023-07-07,-11.769454002380373,-12.011588850671307,-11.708920702659816,-11.77810185225598,965687
2023-07-10,-11.682977676391602,-12.106712412914572,-11.561910255368897,-11.804044272709971,1408028
2023-07-11,-11.432195663452148,-11.864578244107784,-11.319776093517165,-11.682977527244244,1662720
2023-07-12,-11.15546989440918,-11.553261888883696,-11.11223229748932,-11.414899599449829,895342
2023-07-13,-10.731735229492188,-11.233298943502792,-10.731735229492188,-11.155469949138336,1197876
2023-07-14,-11.804043769836426,-11.804043769836426,-10.749030898300727,-10.749030898300727,3225259
2023-07-17,-11.657033920288086,-12.124007896775668,-11.5878527737057,-11.907816607529632,4515833
2023-07-18,-11.605148315429688,-11.80404390298252,-11.510024446344111,-11.7694533301601,1695708
2023-07-19,-12.219131469726562,-12.530446621769627,-11.432195327978368,-11.639738762673744,2238188
2023-07-20,-12.668808937072754,-12.945534341928022,-12.219131494327431,-12.27966479005938,1935909
2023-07-21,-12.409380912780762,-12.945535236213267,-12.409380912780762,-12.69475336195122,1264495
2023-07-24,-12.279664993286133,-12.737990292922468,-12.167245424563198,-12.461265708191746,1853840
2023-07-25,-12.495856285095217,-12.651514276405887,-12.011588261668717,-12.262370122833518,1353642
2023-07-26,-12.69475269317627,-13.16172584219125,-12.4353229826781,-12.530446852488891,1868116
2023-07-27,-12.893648147583008,-13.144430006014376,-12.64286628915164,-12.677456861876507,1169399
2023-07-28,-13.5076322555542,-13.524927955323326,-12.962830083392058,-12.971477933276622,1142974
2023-07-31,-13.585460662841797,-13.818946826615568,-13.421155645719834,-13.6200512361677,1016167
2023-08-01,-13.542222023010254,-13.922719148202502,-13.109839451012714,-13.58546044515087,1218520
2023-08-02,-13.65464210510254,-13.92271967271014,-13.438450810959242,-13.559518232573051,959748
2023-08-03,-14.182147979736328,-14.23403342635174,-13.697879962705732,-13.836242253285905,1517537
2023-08-04,-14.381044387817385,-14.484816936385045,-14.052434341269072,-14.21674018924758,1166085
2023-08-07,-14.787485122680664,-14.899903871973809,-14.234034277843486,-14.45022557598382,1269302
2023-08-08,-15.211219787597656,-15.211219787597656,-14.528054497418744,-14.96908494119082,1051596
2023-08-09,-16.084632873535156,-16.43918646969525,-15.176628433844982,-15.263105282778625,1619482
2023-08-10,-15.66954517364502,-16.862920349566885,-15.375524892007574,-16.179755092406754,1636629
2023-08-11,-16.145166397094727,-16.257585147682974,-15.704135945878567,-15.704135945878567,1068049
2023-08-14,-15.73007869720459,-16.4651294119167,-15.609010453399357,-16.421890164340315,1297933
2023-08-15,-16.006803512573242,-16.14516580797566,-15.548477378172322,-15.73007892176841,757616
2023-08-16,-15.738726615905762,-16.15381349801188,-15.73872661590576,-16.110574250245417,785943
2023-08-17,-17.312599182128906,-17.312599182128906,-15.652249981804909,-15.781964428044082,2266868
